Rank,cca3,Country,Capital,Continent,2023,2022,2020,2010,2015,2000,1990,1980,1970,Area,netChange,GrowthRate,Density,WorldPercentage
118,FIN,Finland,Helsinki,Europe,5545475,5540745,5529468,5363271,5479461,5176209,4986545,4779418,4606621,338424,0.0001,0.0009,18.2453,0.0007
23,FRA,France,Paris,Europe,64756584,64626628,64480053,62444567,63809769,58665453,56412897,53713830,50523586,551695,0.004,0.002,118.2646,0.0081
183,GUF,French Guiana,Cayenne,South America,312155,304557,290969,228453,257026,164351,113931,66825,46484,83534,0.0002,0.0249,3.7369,0
184,PYF,French Polynesia,Papeete,Oceania,308872,306279,301920,283788,291787,250927,211089,163591,117891,4167,0.0001,0.0085,88.9865,0
146,GAB,Gabon,Libreville,Africa,2436566,2388992,2292573,1711105,2028517,1272935,983028,749078,597192,267668,0.0015,0.0199,9.4561,0.0003
141,GMB,Gambia,Banjul,Africa,2773168,2705992,2573995,1937275,2253133,1437539,1040616,718586,528731,10689,0.0022,0.0248,274.0285,0.0003
132,GEO,Georgia,Tbilisi,Asia,3728282,3744385,3765912,3836831,3771132,4265172,5391636,5145843,4800426,69700,-0.0005,-0.0043,53.6521,0.0005
19,DEU,Germany,Berlin,Europe,83294633,83369843,83328988,81325090,82073226,81551677,79370196,77786703,78294583,357114,-0.0012,-0.0009,238.4002,0.0104
47,GHA,Ghana,Accra,Africa,34121985,33475870,32180401,25574719,28870939,19665502,15446982,11865246,8861895,238533,0.0206,0.0193,149.965,0.0043
219,GIB,Gibraltar,Gibraltar,Europe,32688,32649,32709,31262,32520,27741,27317,28734,26685,6.8,0,0.0012,4807.0588,0
91,GRC,Greece,Athens,Europe,10341277,10384971,10512232,11033783,10806641,11038109,10302255,9307148,8544873,131990,-0.0012,-0.0042,80.2271,0.0013
208,GRL,Greenland,Nuuk,North America,56643,56466,56026,56351,55895,56184,55599,50106,45434,2166086,0,0.0031,0.138,0
193,GRD,Grenada,Saint George's,North America,126183,125438,123663,114039,118980,107432,99047,94838,98794,344,0,0.0059,371.1265,0
178,GLP,Guadeloupe,Basse-Terre,North America,395839,395752,395642,403072,399089,424067,391951,334234,318310,1628,0,0.0002,243.1443,0
191,GUM,Guam,Hagåtña,Oceania,172952,171774,169231,164905,167978,160188,138263,110286,88300,549,0,0.0069,320.2815,0
70,GTM,Guatemala,Guatemala City,North America,18092026,17843908,17362718,14543121,16001107,11735894,9084780,6987767,5453208,108889,0.008,0.0139,168.8319,0.0023
207,GGY,Guernsey,Saint Peter Port,Europe,63544,63301,62794,60782,61629,59114,57727,52860,52656,78,0,0.0038,1008.6349,0
75,GIN,Guinea,Conakry,Africa,14190612,13859341,13205153,10270728,11625998,8336967,6354145,4972609,4222374,245857,0.0106,0.0239,57.7511,0.0018
148,GNB,Guinea-Bissau,Bissau,Africa,2150842,2105566,2015828,1567220,1788919,1230849,973551,831462,591663,36125,0.0014,0.0215,76.488,0.0003
164,GUY,Guyana,Georgetown,South America,813834,808726,797202,747932,755031,759051,747116,778176,705261,214969,0.0002,0.0063,4.1343,0.0001
81,HTI,Haiti,Port-au-Prince,North America,11724763,11584996,11306801,9842880,10563757,8360225,6925331,5646676,4680812,27750,0.0045,0.0121,425.4268,0.0015
88,HND,Honduras,Tegucigalpa,North America,10593798,10432860,10121763,8450933,9294505,6656725,5053234,3777990,2782753,112492,0.0053,0.0154,94.6805,0.0013
104,HKG,Hong Kong,Hong Kong,Asia,7491609,7488865,7500958,7132438,7399838,6731195,5838574,4978544,3955072,1104,0.0002,0.0004,7134.8657,0.0009
94,HUN,Hungary,Budapest,Europe,10156239,9967308,9750573,9986825,9844246,10202055,10375989,10698679,10315366,93028,-0.0057,0.019,111.2891,0.0013
179,ISL,Iceland,Reykjavík,Europe,375318,372899,366669,318333,331060,281462,255019,228263,204468,103000,0.0001,0.0065,3.7223,0
1,IND,India,New Delhi,Asia,1428627663,1417173173,1396387127,1240613620,1322866505,1059633675,870452165,696828385,557501301,3287590,0.4184,0.0081,480.5033,0.1785
4,IDN,Indonesia,Jakarta,Asia,277534122,275501339,271857970,244016173,259091970,214072421,182159874,148177096,115228394,1904569,0.0727,0.0074,147.8196,0.0347
17,IRN,Iran,Tehran,Asia,89172767,88550570,87290193,75373855,81790841,65544383,55793629,38520664,28449705,1648195,0.0208,0.007,54.9601,0.0111
35,IRQ,Iraq,Baghdad,Asia,45504560,44496122,42556984,31264875,37757813,24628858,17658381,13653369,9811347,438317,0.0322,0.0227,104.8183,0.0057
125,IRL,Ireland,Dublin,Europe,5056935,5023109,4946119,4524585,4665760,3768950,3485374,3391387,2937637,70273,0.0011,0.0067,73.4059,0.0006
202,IMN,Isle of Man,Douglas,Europe,84710,84519,84046,83828,83593,75562,68865,64022,55298,572,0,0.0023,148.614,0
98,ISR,Israel,Jerusalem,Asia,9174520,9038309,8757489,7328445,8007778,6116958,4803254,3744608,2907307,20770,0.0043,0.0151,423.9612,0.0011
25,ITA,Italy,Rome,Europe,58870762,59037474,59500579,59822450,60232906,56966397,56756561,56329482,53324036,301336,-0.0054,-0.0028,199.078,0.0074
51,CIV,Ivory Coast,Yamoussoukro,Africa,28873034,28160542,26811790,21120042,23596741,16799670,11910540,8303810,5477086,322463,0.023,0.0253,90.7957,0.0036
139,JAM,Jamaica,Kingston,North America,2825544,2827377,2820436,2733896,2794445,2612205,2392030,2135546,1859091,10991,0,-0.0006,260.8997,0.0004
12,JPN,Japan,Tokyo,Asia,123294513,123951692,125244761,128105431,127250933,126803861,123686321,117624196,105416839,377930,-0.0209,-0.0053,338.2566,0.0154
195,JEY,Jersey,Saint Helier,Europe,111802,110778,108319,96151,100561,86192,82874,75124,68347,116,0,0.0092,931.6833,0
83,JOR,Jordan,Amman,Asia,11337052,11285869,10928721,6931258,9494246,5056174,3480587,2216903,1557374,89342,0.0014,0.0045,127.6781,0.0014
66,KAZ,Kazakhstan,Nursultan,Asia,19606633,19397998,18979243,16627837,17835909,15236253,16866563,14172710,12265305,2724900,0.0067,0.0108,7.2625,0.0024
26,KEN,Kenya,Nairobi,Africa,55100586,54027487,51985780,41517895,46851488,30851606,23162269,16187124,11473087,580367,0.0346,0.0199,96.8138,0.0069
192,KIR,Kiribati,Tarawa,Oceania,133515,131232,126463,107995,116707,88826,75124,60813,57437,811,0.0001,0.0174,164.8333,0
129,KWT,Kuwait,Kuwait City,Asia,4310108,4268873,4360444,2943356,3908743,1934901,1674938,1493870,802786,17818,0.0013,0.0097,241.8691,0.0005
109,KGZ,Kyrgyzstan,Bishkek,Asia,6735347,6630623,6424874,5483774,5914980,4935182,4394734,3691209,3016384,199951,0.0033,0.0158,35.1165,0.0008
103,LAO,Laos,Vientiane,Asia,7633779,7529475,7319399,6323418,6787419,5430853,4314443,3297519,2675283,236800,0.0033,0.0139,33.0753,0.001
151,LVA,Latvia,Riga,Europe,1830211,1850651,1897052,2101530,1991955,2392530,2689391,2572037,2397414,64559,-0.0006,-0.011,29.4104,0.0002
122,LBN,Lebanon,Beirut,Asia,5353930,5489739,5662923,4995800,6398940,4320642,3593700,2963702,2381791,10452,-0.0045,-0.0247,523.3558,0.0007
147,LSO,Lesotho,Maseru,Africa,2330318,2305825,2254100,2022747,2118521,1998630,1798997,1407672,1023481,30355,0.0008,0.0106,76.7562,0.0003
120,LBR,Liberia,Monrovia,Africa,5418377,5302681,5087584,4019956,4612329,2895224,2209731,1932169,1463563,111369,0.0037,0.0218,56.2539,0.0007
107,LBY,Libya,Tripoli,Africa,6888388,6812341,6653942,6491988,6192235,5154790,4236983,2962720,1909177,1759540,0.0024,0.0112,3.9149,0.0009
216,LIE,Liechtenstein,Vaduz,Europe,39584,39327,38756,35926,37355,33026,28765,25003,21089,160,0,0.0065,247.4,0
142,LTU,Lithuania,Vilnius,Europe,2718352,2750055,2820267,3139019,2963765,3599637,3785847,3521206,3210147,65300,-0.0008,-0.0115,43.4103,0.0003
168,LUX,Luxembourg,Luxembourg,Europe,654768,647599,630399,507070,569408,435628,381267,363741,339342,2586,0.0002,0.0111,254.3282,0.0001
167,MAC,Macau,Concelho de Macau,Asia,704149,695168,676283,557297,615239,431896,350227,245332,247284,32.9,0.0003,0.0129,21402.7052,0.0001
50,MDG,Madagascar,Antananarivo,Africa,30325732,29611714,28225177,21731053,24850912,16216431,11882762,8948162,6639751,587041,0.023,0.0241,52.124,0.0038
62,MWI,Malawi,Lilongwe,Africa,20931751,20405317,19377061,14718422,16938942,11229387,9539665,6267369,4625141,118484,0.0169,0.0258,222.0169,0.0026
